Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1fDUds6Gcl87WHMvGUxmn4,"3HJIB8sYPyxrFGuwvKXSLR","Trouble","Seeds","TV On The Radio",2014-11-17,274411,45,spotify:user:kelsey2701,2018-06-19T05:28:49Z,"alternative dance,alternative rock,brooklyn indie,chamber pop,indie rock,indietronica,modern rock,neo-synthpop",0.658,0.688,7,-3.709,1,0.0263,0.0178,0.000183,0.256,0.214,123.058,4
2Gda8Sc8IJGfdZSjEWMOPF,"42vg2T0Xg9yPaAgogJzoQH","Friends with Enemies","Inanimate Objects","Atlas Genius",2015-08-28,227426,17,spotify:user:kelsey2701,2018-06-19T05:28:53Z,"indietronica,modern alternative rock,modern rock,shimmer pop",0.321,0.322,11,-10.07,0,0.0481,0.195,0.00000121,0.107,0.19,79.879,4
2aNM3HvgJvGXIKBdBmWe1P,"42vg2T0Xg9yPaAgogJzoQH","Levitate","Inanimate Objects","Atlas Genius",2015-08-28,204400,18,spotify:user:kelsey2701,2018-06-19T05:28:58Z,"indietronica,modern alternative rock,modern rock,shimmer pop",0.539,0.446,5,-7.691,1,0.0263,0.459,0,0.133,0.226,96.984,4
7tKnaB8gsXxyPScxEwzQ9N,"42vg2T0Xg9yPaAgogJzoQH","Stockholm","Inanimate Objects","Atlas Genius",2015-08-28,191640,48,spotify:user:kelsey2701,2018-06-19T05:29:03Z,"indietronica,modern alternative rock,modern rock,shimmer pop",0.568,0.746,7,-5.437,1,0.0462,0.0054,0,0.162,0.409,125.04,4
1H0hqToQLTzPzYk3ks0DnS,"42vg2T0Xg9yPaAgogJzoQH","A Perfect End","Inanimate Objects","Atlas Genius",2015-08-28,188466,29,spotify:user:kelsey2701,2018-06-19T05:29:08Z,"indietronica,modern alternative rock,modern rock,shimmer pop",0.468,0.829,9,-5.42,0,0.0808,0.00108,0,0.0679,0.35,182.984,4
72EhtszPBaggBUP3DfxUiu,"4LOAd0Ga7QJA0KWmytyUuV","Ung og Blank","Ung og Blank","Hvitmalt gjerde",2016-04-11,199175,0,spotify:user:kelsey2701,2018-06-19T05:29:12Z,"bergen indie",0.566,0.83,11,-6.344,0,0.0289,0.00301,0.357,0.35,0.712,129.829,4
4gNErDjikE9QUQvkkqoB1S,"3vbKDsSS70ZX9D2OcvbZmS","Blue Moon","Morning Phase","Beck",2014-01-01,242346,52,spotify:user:kelsey2701,2018-06-19T05:29:17Z,"alternative rock,anti-folk,permanent wave,rock",0.685,0.645,0,-6.73,1,0.0256,0.182,0.00532,0.138,0.461,119.936,4
4mqVUkv3epcKid8O9tlgtl,"3vbKDsSS70ZX9D2OcvbZmS","Dreams","Dreams","Beck",2015-06-15,314320,0,spotify:user:kelsey2701,2018-06-19T05:29:21Z,"alternative rock,anti-folk,permanent wave,rock",0.589,0.956,1,-3.587,0,0.0406,0.00073,0.051,0.139,0.751,113.996,4
01MBhRpvFkbeRwAp7gcF2W,"3vbKDsSS70ZX9D2OcvbZmS","E-Pro","Guero","Beck",2005-01-01,202360,61,spotify:user:kelsey2701,2018-06-19T05:29:26Z,"alternative rock,anti-folk,permanent wave,rock",0.624,0.959,11,-6.253,0,0.0769,0.00133,0.171,0.101,0.69,95.794,4
5PntSbMHC1ud6Vvl8x56qd,"3vbKDsSS70ZX9D2OcvbZmS","Loser","Mellow Gold","Beck",1994-03-01,235000,74,spotify:user:kelsey2701,2018-06-19T05:29:30Z,"alternative rock,anti-folk,permanent wave,rock",0.654,0.611,2,-10.45,1,0.119,0.0337,0.000178,0.405,0.786,85.387,4
29i8axWOLDmgbiutJb9prB,"3vbKDsSS70ZX9D2OcvbZmS","Lost Cause","Sea Change","Beck",2002-01-01,227360,56,spotify:user:kelsey2701,2018-06-19T05:29:37Z,"alternative rock,anti-folk,permanent wave,rock",0.611,0.577,0,-8.728,1,0.0297,0.26,0.000807,0.467,0.214,119.877,4
1h12pMnzdU1QHGbXJ05rkY,"3vbKDsSS70ZX9D2OcvbZmS","Don't Let It Go","Morning Phase","Beck",2014-01-01,189173,40,spotify:user:kelsey2701,2018-06-19T05:29:42Z,"alternative rock,anti-folk,permanent wave,rock",0.54,0.301,7,-8.902,1,0.0265,0.595,0.000107,0.106,0.255,108.554,4
4eThjQY0VmpdUFRRgXPZBe,"3vbKDsSS70ZX9D2OcvbZmS","Wave","Morning Phase","Beck",2014-01-01,220280,41,spotify:user:kelsey2701,2018-06-19T05:29:46Z,"alternative rock,anti-folk,permanent wave,rock",0.0751,0.337,11,-7.818,1,0.0339,0.808,0.00626,0.107,0.0322,79.093,3
586ZtoEG1PnqGYocUDZnUU,"3vbKDsSS70ZX9D2OcvbZmS","Deadweight","Odelay - Deluxe Edition","Beck",1996,372386,0,spotify:user:kelsey2701,2018-06-19T05:29:51Z,"alternative rock,anti-folk,permanent wave,rock",0.466,0.873,1,-6.884,0,0.22,0.205,0.00664,0.667,0.688,124.93,4
6vTPzTw4pN6kE7IkrqTSCd,"3vbKDsSS70ZX9D2OcvbZmS","Tropicalia","Mutations","Beck",1998-01-01,200306,39,spotify:user:kelsey2701,2018-06-19T05:29:56Z,"alternative rock,anti-folk,permanent wave,rock",0.664,0.815,7,-6.958,1,0.0567,0.0495,0.000185,0.133,0.8,81.575,4
2k8TkPeInwscYUqrFRoaDP,"3vbKDsSS70ZX9D2OcvbZmS","Nausea","The Information","Beck",2006-01-01,173906,39,spotify:user:kelsey2701,2018-06-19T05:30:01Z,"alternative rock,anti-folk,permanent wave,rock",0.633,0.945,1,-4.529,1,0.0337,0.00233,0.00562,0.0871,0.95,114.862,4
