Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,target,Track Name,Artist Name(s)
0.0506,0.775,182666,0.825,1.03e-06,7,0.111,-5.402,1,0.0464,139.091,4,0.95,0,Lips Are Movin,Meghan Trainor
0.361,0.688,156693,0.774,0.0,0,0.196,-4.444,1,0.086,109.974,4,0.803,0,Keep It Undercover - Theme Song From K.C. Undercover,Zendaya
0.0657,0.898,176709,0.598,0.0,8,0.0639,-5.723,1,0.165,116.025,4,0.687,0,Guess U Suck,Jessie Chambers
0.254,0.508,263520,0.762,0.000122,6,0.108,-4.217,0,0.0489,99.963,4,0.444,0,Alive,Sia
0.13,0.827,172832,0.731,0.0,4,0.418,-5.524,0,0.088,118.992,4,0.607,0,Rumors (feat. Cardi B),"Lizzo,Cardi B"
0.119,0.458,197981,0.508,8.88e-06,9,0.128,-9.88,0,0.0634,179.7,4,0.14,0,Hypothermia,"VENYSS,Sophia Kaloustian"
0.738,0.574,213739,0.424,0.000469,7,0.638,-7.639,1,0.0253,157.04,4,0.222,0,Survivor,The Bittersweets
0.0491,0.626,158237,0.632,0.26,3,0.223,-8.37,0,0.144,144.087,4,0.418,0,Fight Like a GIRL,Caley Rose
0.53,0.756,176266,0.789,0.000711,2,0.157,-7.002,1,0.0324,127.987,4,0.873,0,Better When I'm Dancin',Meghan Trainor
0.301,0.737,193159,0.701,0.000103,0,0.131,-6.588,0,0.0731,100.011,4,0.492,0,Taking Back My Life,Audriix
0.0164,0.769,171527,0.578,0.00488,10,0.443,-9.243,0,0.025,107.991,4,0.592,0,I'm Not Sorry,Marilyn Hucek
0.0835,0.816,184285,0.39,0.0,6,0.147,-10.756,0,0.168,111.997,4,0.818,0,Talk,Akira Sky
0.0856,0.791,132029,0.77,0.000208,7,0.0558,-6.486,1,0.0744,100.03,4,0.684,0,Hot Spice,Zxena
8.32e-05,0.536,232877,0.81,0.0,6,0.354,-5.066,0,0.0435,145.857,4,0.831,0,Save Me,Blue Lush
0.0694,0.628,202543,0.516,0.0,10,0.0783,-11.411,1,0.121,82.385,4,0.593,0,Permission,Candice Lee
0.242,0.705,165689,0.93,0.0,0,0.156,-3.388,0,0.0932,78.971,4,0.759,0,The Sign,Lizzo
0.959,0.444,222369,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142,0,What Was I Made For? [From The Motion Picture Barbie],Billie Eilish
